Faculty,Interested_Field,GPA,Work_Experience,TopUp,Career_Choice,Position
Computing,Network Monitoring and Troubleshooting,3.48,24,Systems and Network Engineering,Network Troubleshooting Specialist,Associate
Computing,Internet Routing and Traffic Engineering,2.88,23,Systems and Network Engineering,Routing and Traffic Engineer,Associate
Computing,Network Administration,3.62,5,Networking,Network Administrator,Intern
Computing,Network Troubleshooting and Support,2.54,15,Networking,Network Support Specialist,Associate
Computing,Network Security Management,3,12,Networking,Network Security Manager,Associate
Computing,Network Planning and Design,3.54,13,Networking,Network Planner,Associate
Computing,Wireless Networking,2.98,7,Networking,Wireless Network Engineer,Intern
Computing,Network Protocols and Standards,2.78,6,Networking,Network Protocol Specialist,Intern
Computing,Network Performance Optimization,3.01,1,Networking,Network Performance Engineer,Intern
Computing,Network Virtualization,2.68,11,Networking,Network Virtualization Specialist,Intern
Computing,Network Traffic Analysis,3.58,21,Networking,Network Traffic Analyst,Associate
Computing,Network Device Configuration and Management,2.81,16,Networking,Network Device Manager,Associate
Computing,Cyber Threat Intelligence,2.71,7,Cybersecurity,Threat Intelligence Analyst,Intern
Computing,Security Operations and Incident Response,2.62,11,Cybersecurity,Security Operations Analyst,Intern
Computing,Vulnerability Assessment and Management,3.66,10,Cybersecurity,Vulnerability Management Specialist,Intern
Computing,Network Security,3.26,20,Cybersecurity,Network Security Engineer,Associate
Computing,Web Application Security,3.55,17,Cybersecurity,Web Application Security Specialist,Associate
Computing,Cryptography,3.25,2,Cybersecurity,Cryptography Expert,Intern
Computing,Identity and Access Management,3.28,15,Cybersecurity,IAM Specialist,Associate
Computing,Security Auditing and Compliance,3.67,17,Cybersecurity,Security Compliance Analyst,Associate
Computing,Risk Management and Governance,3.12,13,Cybersecurity,Cybersecurity Risk Manager,Associate
Computing,Ethical Hacking and Penetration Testing,3.08,15,Cybersecurity,Ethical Hacker,Associate
Computing,Database Administration,2.78,15,Data Management,Database Administrator,Associate
Computing,Data Modeling,3.05,12,Data Management,Data Modeler,Associate
Computing,Data Warehousing,3.59,11,Data Management,Data Warehousing Specialist,Intern
Computing,Data Integration,3.49,24,Data Management,Data Integration Specialist,Associate
Computing,Data Governance,2.63,8,Data Management,Data Governance Manager,Intern
Computing,Data Quality Management,2.53,10,Data Management,Data Quality Analyst,Intern
Computing,Master Data Management,3.44,7,Data Management,Master Data Manager,Intern
Computing,Big Data Management,3.46,15,Data Management,Big Data Manager,Associate
Computing,Metadata Management,3.49,10,Data Management,Metadata Manager,Intern
Computing,Data Privacy and Protection,3.67,14,Data Management,Data Privacy Specialist,Associate
Computing,Parallel Computing,2.96,7,High Performance Computing,Parallel Computing Specialist,Intern
Computing,Distributed Computing,3.38,18,High Performance Computing,Distributed Computing Specialist,Associate
Computing,GPU Computing,3.16,10,High Performance Computing,GPU Computing Specialist,Intern
Computing,Cluster Computing,3.5,15,High Performance Computing,Cluster Computing Specialist,Associate
Computing,Supercomputing,3.08,23,High Performance Computing,Supercomputing Specialist,Associate
Computing,High-Performance Algorithms,3.5,2,High Performance Computing,High-Performance Algorithm Developer,Intern
Computing,Scalable Computing,2.71,11,High Performance Computing,Scalable Computing Specialist,Intern
Computing,Performance Tuning and Optimization,2.84,9,High Performance Computing,Performance Tuning Specialist,Intern
Computing,Computational Science,3.35,18,High Performance Computing,Computational Scientist,Associate
Computing,Grid Computing,3.29,9,High Performance Computing,Grid Computing Specialist,Intern
Computing,Support,2.7,3,Information Technology,IT Support Executive,Intern
Computing,Security,2.89,14,Computer System Networking,Information Systems Auditor,Associate
Computing,Support,2.84,9,Information Technology,Support Operations Engineer,Intern
Computing,Infrastructure,3.2,6,Cyber Security,Information Security Analyst,Intern
Computing,Support,3.42,7,Information Technology,Product Support Engineer,Intern
Computing,Software,2.92,5,Computer System,TIBCO DEVELOPERS,Intern
Computing,Admin,2.97,12,Information Technology,System Administrator,Associate
Computing,ERP,3.3,8,Information Technology,ERP Support Executive,Intern
Computing,System,2.87,0,Information Technology,System Support Engineer,Intern
Computing,Design,2.59,9,Computer System Networking,Audio Visual Technician,Intern
Computing,Support,2.68,0,Information System Engineering,Site Support Engineer,Intern
Computing,Network Troubleshooting and Support,2.54,15,Networking,Network Support Specialist,Associate
Computing,Network Security Management,3,12,Networking,Network Security Manager,Associate
Computing,Network Planning and Design,3.54,13,Networking,Network Planner,Associate
Computing,Wireless Networking,2.98,7,Networking,Wireless Network Engineer,Intern
Computing,Network Protocols and Standards,2.78,6,Networking,Network Protocol Specialist,Intern
Computing,Network Performance Optimization,3.01,1,Networking,Network Performance Engineer,Intern
Computing,Network Virtualization,2.68,11,Networking,Network Virtualization Specialist,Intern
Computing,Network Traffic Analysis,3.58,21,Networking,Network Traffic Analyst,Associate
Computing,Network Device Configuration and Management,2.81,16,Networking,Network Device Manager,Associate
Computing,Cyber Threat Intelligence,2.71,7,Cybersecurity,Threat Intelligence Analyst,Intern
Computing,Security Operations and Incident Response,2.62,11,Cybersecurity,Security Operations Analyst,Intern
Computing,Vulnerability Assessment and Management,3.66,10,Cybersecurity,Vulnerability Management Specialist,Intern
Computing,Network Security,3.26,20,Cybersecurity,Network Security Engineer,Associate
Computing,Web Application Security,3.55,17,Cybersecurity,Web Application Security Specialist,Associate
Computing,Cryptography,3.25,2,Cybersecurity,Cryptography Expert,Intern
Computing,Identity and Access Management,3.28,15,Cybersecurity,IAM Specialist,Associate
Computing,Security Auditing and Compliance,3.67,17,Cybersecurity,Security Compliance Analyst,Associate
Computing,Risk Management and Governance,3.12,13,Cybersecurity,Cybersecurity Risk Manager,Associate
Computing,Ethical Hacking and Penetration Testing,3.08,15,Cybersecurity,Ethical Hacker,Associate
Computing,Database Administration,2.78,15,Data Management,Database Administrator,Associate
Computing,Data Modeling,3.05,12,Data Management,Data Modeler,Associate
Computing,Data Warehousing,3.59,11,Data Management,Data Warehousing Specialist,Intern
Computing,Data Integration,3.49,24,Data Management,Data Integration Specialist,Associate
Computing,Data Governance,2.63,8,Data Management,Data Governance Manager,Intern
Computing,Data Quality Management,2.53,10,Data Management,Data Quality Analyst,Intern
Computing,Master Data Management,3.44,7,Data Management,Master Data Manager,Intern
Computing,Big Data Management,3.46,15,Data Management,Big Data Manager,Associate
Computing,Metadata Management,3.49,10,Data Management,Metadata Manager,Intern
Computing,Data Privacy and Protection,3.67,14,Data Management,Data Privacy Specialist,Associate
Computing,Parallel Computing,2.96,7,High Performance Computing,Parallel Computing Specialist,Intern
Computing,Distributed Computing,3.38,18,High Performance Computing,Distributed Computing Specialist,Associate
Computing,GPU Computing,3.16,10,High Performance Computing,GPU Computing Specialist,Intern
Computing,Cluster Computing,3.5,15,High Performance Computing,Cluster Computing Specialist,Associate
Computing,Supercomputing,3.08,23,High Performance Computing,Supercomputing Specialist,Associate
Computing,High-Performance Algorithms,3.5,2,High Performance Computing,High-Performance Algorithm Developer,Intern
Computing,Scalable Computing,2.71,11,High Performance Computing,Scalable Computing Specialist,Intern
Computing,Performance Tuning and Optimization,2.84,9,High Performance Computing,Performance Tuning Specialist,Intern
Computing,Computational Science,3.35,18,High Performance Computing,Computational Scientist,Associate
Computing,Grid Computing,3.29,9,High Performance Computing,Grid Computing Specialist,Intern
Computing,Support,2.7,3,Information Technology,IT Support Executive,Intern
Computing,Security,2.89,14,Computer System Networking,Information Systems Auditor,Associate
Computing,Support,2.84,9,Information Technology,Support Operations Engineer,Intern
Computing,Infrastructure,3.2,6,Cyber Security,Information Security Analyst,Intern
Computing,Support,3.42,7,Information Technology,Product Support Engineer,Intern
Computing,Software,2.92,5,Computer System,TIBCO DEVELOPERS,Intern
Computing,Cyber Threat Intelligence,3.33,4,Cybersecurity,Threat Intelligence Analyst,Intern
Computing,Security Operations and Incident Response,2.55,17,Cybersecurity,Security Operations Analyst,Associate
Computing,Vulnerability Assessment and Management,3.41,7,Cybersecurity,Vulnerability Management Specialist,Intern
Computing,Network Security,2.97,2,Cybersecurity,Network Security Engineer,Intern
Computing,Web Application Security,3.52,11,Cybersecurity,Web Application Security Specialist,Intern
Computing,Cryptography,3.69,11,Cybersecurity,Cryptography Expert,Intern
Computing,Identity and Access Management,2.78,12,Cybersecurity,IAM Specialist,Associate
Computing,Security Auditing and Compliance,3.04,1,Cybersecurity,Security Compliance Analyst,Intern
Computing,Risk Management and Governance,3.09,8,Cybersecurity,Cybersecurity Risk Manager,Intern
Computing,Ethical Hacking and Penetration Testing,2.89,14,Cybersecurity,Ethical Hacker,Associate
Computing,Database Administration,3.42,12,Data Management,Database Administrator,Associate
Computing,Data Modeling,3.51,7,Data Management,Data Modeler,Intern
Computing,Data Warehousing,3.5,17,Data Management,Data Warehousing Specialist,Associate
Computing,"Data Integration and ETL (Extract, Transform, Load)",3.47,16,Data Management,Data Integration Specialist,Associate
Computing,Data Governance,2.75,11,Data Management,Data Governance Manager,Intern
Computing,Data Quality Management,2.59,4,Data Management,Data Quality Analyst,Intern
Computing,Master Data Management,3.47,3,Data Management,Master Data Manager,Intern
Computing,Big Data Management,3.46,6,Data Management,Big Data Manager,Intern
Computing,Metadata Management,3.51,6,Data Management,Metadata Manager,Intern
Computing,Data Privacy and Protection,3,6,Data Management,Data Privacy Specialist,Intern
Computing,Parallel Computing,2.97,3,High Performance Computing,Parallel Computing Specialist,Intern
Computing,Distributed Computing,3.23,13,High Performance Computing,Distributed Computing Specialist,Associate
Computing,GPU Computing,2.76,6,High Performance Computing,GPU Computing Specialist,Intern
Computing,Cluster Computing,3.05,9,High Performance Computing,Cluster Computing Specialist,Intern
Computing,Supercomputing,3.6,6,High Performance Computing,Supercomputing Specialist,Intern
Computing,High-Performance Algorithms,2.53,7,High Performance Computing,High-Performance Algorithm Developer,Intern
Computing,Scalable Computing,2.64,14,High Performance Computing,Scalable Computing Specialist,Associate
Computing,Performance Tuning and Optimization,2.6,16,High Performance Computing,Performance Tuning Specialist,Associate
Computing,Computational Science,3.6,17,High Performance Computing,Computational Scientist,Associate
Computing,Grid Computing,3.15,15,High Performance Computing,Grid Computing Specialist,Associate
Engineering,Wireless Communication Systems,3.46,11,Telecommunication Engineering,Telecommunication Engineer,Intern
Engineering,Mobile Network Planning and Optimization,2.59,17,Telecommunication Engineering,Mobile Network Engineer,Associate
Engineering,Fiber Optic Communication,3.23,4,Telecommunication Engineering,Fiber Optic Engineer,Intern
Engineering,Satellite Communication,3.05,11,Telecommunication Engineering,Satellite Communication Engineer,Intern
Engineering,Network Protocols and Standards,2.96,3,Telecommunication Engineering,Network Protocol Specialist,Intern
Engineering,Wireless Sensor Networks,3.25,14,Telecommunication Engineering,Wireless Sensor Network Engineer,Associate
Engineering,Radio Frequency Engineering,3.48,7,Telecommunication Engineering,RF Engineer,Intern
Engineering,Telecommunication Network Design and Management,2.91,3,Telecommunication Engineering,Telecommunication Network Engineer,Intern
Engineering,Broadband Communication,2.83,15,Telecommunication Engineering,Broadband Communication Engineer,Associate
Engineering,Telecommunication Infrastructure Management,2.54,8,Telecommunication Engineering,Telecommunication Infrastructure Manager,Intern
Engineering,Biomedical Instrumentation,3.63,7,Telecommunication Engineering,Biomedical Instrumentation Engineer,Intern
Engineering,Medical Imaging and Radiology,2.94,3,Telecommunication Engineering,Medical Imaging Engineer,Intern
Engineering,Biomechanics,2.94,11,Telecommunication Engineering,Biomechanical Engineer,Intern
Engineering,Rehabilitation Engineering,2.51,13,Telecommunication Engineering,Rehabilitation Engineer,Associate
Engineering,Biomedical Signal Processing,2.52,10,Telecommunication Engineering,Biomedical Signal Processing Engineer,Intern
Engineering,Biomaterials and Tissue Engineering,3.31,9,Telecommunication Engineering,Biomaterials Engineer,Intern
Engineering,Medical Device Development,3.4,13,Telecommunication Engineering,Medical Device Engineer,Associate
Engineering,Clinical Engineering,3.35,14,Telecommunication Engineering,Clinical Engineer,Associate
Engineering,Biomedical Instrumentation,3.18,16,Biomedical Engineering,Biomedical Instrumentation Engineer,Associate
Engineering,Medical Imaging and Radiology,2.59,6,Biomedical Engineering,Medical Imaging Engineer,Intern
Engineering,Biomechanics,3.32,10,Biomedical Engineering,Biomechanical Engineer,Intern
Engineering,Rehabilitation Engineering,3.31,7,Biomedical Engineering,Rehabilitation Engineer,Intern
Engineering,Biomedical Signal Processing,2.59,13,Biomedical Engineering,Biomedical Signal Processing Engineer,Associate
Engineering,Biomaterials and Tissue Engineering,2.57,12,Biomedical Engineering,Biomaterials Engineer,Associate
Engineering,Medical Device Development,3.64,12,Biomedical Engineering,Medical Device Engineer,Associate
Engineering,Clinical Engineering,2.54,5,Biomedical Engineering,Clinical Engineer,Intern
Engineering,Biomedical Research and Development,2.97,7,Biomedical Engineering,Biomedical Research Scientist,Intern
Engineering,Biomedical Research and Development,3.28,9,Biomedical Engineering,Biomedical Research Scientist,Intern
Engineering,Structural Engineering,2.89,3,Civil Engineering,Structural Engineer,Intern
Engineering,Transportation Engineering,2.54,16,Civil Engineering,Transportation Engineer,Associate
Engineering,Geotechnical Engineering,3.53,16,Civil Engineering,Geotechnical Engineer,Associate
Engineering,Environmental Engineering,3,1,Civil Engineering,Environmental Engineer,Intern
Engineering,Construction Management,3.51,8,Civil Engineering,Construction Manager,Intern
Engineering,Water Resources Engineering,3.5,9,Civil Engineering,Water Resources Engineer,Intern
Engineering,Urban Planning and Design,3.4,7,Civil Engineering,Urban Planner,Intern
Engineering,Highway Engineering,2.95,5,Civil Engineering,Highway Engineer,Intern
Engineering,Sustainable Building Design,3.5,10,Civil Engineering,Sustainable Building Designer,Intern
Engineering,Artificial Intelligence,3.21,7,Computer Science,AI Engineer,Intern
Engineering,Machine Learning,3.62,6,Computer Science,Machine Learning Engineer,Intern
Engineering,Data Science,3.64,17,Computer Science,Data Scientist,Associate
Engineering,Web Development,2.93,7,Computer Science,Web Developer,Intern
Engineering,Software Engineering,2.69,6,Computer Science,Software Engineer,Intern
Engineering,Database Management,3.53,16,Computer Science,Database Administrator,Associate
Engineering,Computer Networking,3.61,17,Computer Science,Network Engineer,Associate
Engineering,Cybersecurity,3.22,11,Computer Science,Cybersecurity Analyst,Intern
Engineering,Cloud Computing,2.59,15,Computer Science,Cloud Architect,Associate
Engineering,Geological Engineering,3.62,14,Earth Resources Engineering,Geological Engineer,Associate
Engineering,Mineral Exploration and Mining Engineering,3.58,5,Earth Resources Engineering,Mining Engineer,Intern
Engineering,Petroleum Engineering,3.11,2,Earth Resources Engineering,Petroleum Engineer,Intern
Engineering,Geothermal Energy Engineering,2.7,7,Earth Resources Engineering,Geothermal Engineer,Intern
Engineering,Environmental Impact Assessment,2.61,4,Earth Resources Engineering,Environmental Impact Assessor,Intern
Engineering,Hydrology and Water Resources Engineering,3.02,4,Earth Resources Engineering,Hydrologist,Intern
Engineering,Waste Management and Environmental Engineering,3.25,10,Earth Resources Engineering,Waste Management Engineer,Intern
Engineering,Renewable Energy Engineering,2.57,3,Earth Resources Engineering,Renewable Energy Engineer,Intern
Engineering,Geotechnical and Geoenvironmental Engineering,3.49,0,Earth Resources Engineering,Geotechnical Engineer,Intern
Engineering,Power Systems Engineering,2.98,9, Electrical Engineering,Power Systems Engineer,Intern
Engineering,Control Systems Engineering,3.63,11, Electrical Engineering,Control Systems Engineer,Intern
Engineering,Electronics and Circuit Design,3.48,13, Electrical Engineering,Electronics Engineer,Associate
Engineering,Renewable Energy Systems,3.44,6, Electrical Engineering,Renewable Energy Engineer,Intern
Engineering,Electric Machine Design,2.73,10, Electrical Engineering,Electric Machine Engineer,Intern
Engineering,Power Electronics and Drives,2.91,12, Electrical Engineering,Power Electronics Engineer,Associate
Engineering,Instrumentation and Measurement Engineering,2.81,11, Electrical Engineering,Instrumentation Engineer,Intern
Engineering,Microelectronics and VLSI Design,2.51,9, Electrical Engineering,VLSI Design Engineer,Intern
Engineering,Analog and Digital Electronics,2.61,8,Telecommunication Engineering,Electronics Engineer,Intern
Engineering,Telecommunication Systems,2.58,11,Telecommunication Engineering,Telecommunication Engineer,Intern
Engineering,Electronic Circuit Design,3.01,3,Telecommunication Engineering,Circuit Design Engineer,Intern
Engineering,Embedded Systems Design,3.34,6,Telecommunication Engineering,Embedded Systems Engineer,Intern
Engineering,Wireless Communication,2.67,4,Telecommunication Engineering,Wireless Communication Engineer,Intern
Engineering,Microwave Engineering,3.6,15,Telecommunication Engineering,Microwave Engineer,Associate
Engineering,Semiconductor Devices and Fabrication,2.6,13,Telecommunication Engineering,Semiconductor Engineer,Associate
Engineering,Optical Communication Systems,2.75,11,Telecommunication Engineering,Optical Communication Engineer,Intern
Engineering,Natural Resource Management and Conservation,2.54,14,Resource Engineering,Natural Resource Manager,Associate
Engineering,Sustainable Development and Planning,3.44,0,Resource Engineering,Sustainable Development Planner,Intern
Engineering,Energy Resource Engineering,3.47,10,Resource Engineering,Energy Resource Engineer,Intern
Engineering,Environmental Policy and Governance,3.24,5,Resource Engineering,Environmental Policy Analyst,Intern
Engineering,Land and Water Resource Management,3.12,2,Resource Engineering,Land and Water Resource Manager,Intern
Engineering,Environmental Impact Assessment,3.45,17,Resource Engineering,Environmental Impact Assessor,Associate
Engineering,Climate Change Adaptation and Mitigation,3.28,12,Resource Engineering,Climate Change Specialist,Associate
Engineering,Textile Process Engineering,2.71,14,Textile and Clothing Technology,Textile Process Engineer,Associate
Engineering,Apparel Manufacturing and Technology,3.05,12,Textile and Clothing Technology,Apparel Manufacturing Engineer,Associate
Engineering,Textile Quality Control and Testing,3.23,15,Textile and Clothing Technology,Textile Quality Control Engineer,Associate
Engineering,Textile Chemistry and Dyeing Technology,3.1,1,Textile and Clothing Technology,Textile Chemist,Intern
Engineering,Fashion Design and Merchandising,3.59,14,Textile and Clothing Technology,Fashion Designer,Associate
Engineering,Textile Research and Development,3.23,13,Textile and Clothing Technology,Textile Researcher,Associate
Engineering,Materials Characterization and Testing,3.06,3,Material Science & Engineering,Materials Testing Engineer,Intern
Engineering,Nanomaterials and Nanotechnology,2.56,2,Material Science & Engineering,Nanomaterials Engineer,Intern
Engineering,Composite Materials Engineering,2.96,7,Material Science & Engineering,Composite Materials Engineer,Intern
Engineering,Biomaterials Engineering,3.5,13,Material Science & Engineering,Biomaterials Engineer,Associate
Engineering,Materials Processing and Manufacturing,2.56,12,Material Science & Engineering,Materials Manufacturing Engineer,Associate
Engineering,Energy Storage Materials,3.07,4,Material Science & Engineering,Energy Storage Engineer,Intern
Engineering,Thermodynamics and Heat Transfer,3.58,5,Mechanical Engineering,Thermodynamics Engineer,Intern
Engineering,Fluid Mechanics and Aerodynamics,3.44,14,Mechanical Engineering,Fluid Mechanics Engineer,Associate
Engineering,Mechanical Design and Analysis,2.57,6,Mechanical Engineering,Mechanical Design Engineer,Intern
Engineering,Robotics and Automation,3.07,3,Mechanical Engineering,Robotics Engineer,Intern
Engineering,Manufacturing Processes and Systems,2.89,13,Mechanical Engineering,Manufacturing Engineer,Associate
Engineering,Automotive Engineering,3.15,6,Mechanical Engineering,Automotive Engineer,Intern
Engineering,Textile Fiber Science and Technology,2.76,12,Textile & Clothing Engineering,Textile Fiber Engineer,Associate
Engineering,Apparel Engineering,3.54,0,Textile & Clothing Engineering,Apparel Engineer,Intern
Engineering,Textile Testing and Quality Control,3.56,1,Textile & Clothing Engineering,Textile Quality Control Engineer,Intern
Engineering,Textile Wet Processing,2.67,16,Textile & Clothing Engineering,Textile Wet Processing Engineer,Associate
Engineering,Textile Production Management,3,8,Textile & Clothing Engineering,Textile Production Manager,Intern
Engineering,Fashion Merchandising and Retailing,3,13,Textile & Clothing Engineering,Fashion Merchandiser,Associate
Engineering,Chemical Reaction Engineering,3.02,7,Chemical & Process Engineering,Chemical Reaction Engineer,Intern
Engineering,Process Design and Optimization,3.34,4,Chemical & Process Engineering,Process Design Engineer,Intern
Engineering,Petrochemical Engineering,2.9,0,Chemical & Process Engineering,Petrochemical Engineer,Intern
Engineering,Process Control and Instrumentation,2.93,12,Chemical & Process Engineering,Process Control Engineer,Associate
Engineering,Polymer Science and Engineering,2.91,1,Chemical & Process Engineering,Polymer Engineer,Intern
Engineering,Environmental Engineering,3.3,9,Chemical & Process Engineering,Environmental Engineer,Intern
Engineering,Applied Mathematics,2.75,10,Mathematics,Applied Mathematician,Intern
Engineering,Mathematical Modeling,3.37,4,Mathematics,Mathematical Modeler,Intern
Engineering,Computational Mathematics,3.13,6,Mathematics,Computational Mathematician,Intern
Engineering,Financial Mathematics,2.52,17,Mathematics,Financial Mathematician,Associate
Engineering,Data Science and Analytics,2.87,11,Mathematics,Data Scientist,Intern
Engineering,Robotics and Automation,3.2,1,Mechatronics,Robotics Engineer,Intern
Engineering,Control Systems Engineering,3.36,14,Mechatronics,Control Systems Engineer,Associate
Engineering,Mechatronic System Design,3.17,7,Mechatronics,Mechatronic System Designer,Intern
Engineering,Embedded Systems Design,2.91,5,Mechatronics,Embedded Systems Engineer,Intern
Engineering,Industrial Automation,3.53,7,Mechatronics,Industrial Automation Engineer,Intern
Engineering,"HVAC (Heating, Ventilation, and Air Conditioning) Engineer",2.64,14,HVAC,HVAC Engineer,Associate
Engineering,Plumbing and Drainage Engineering,2.51,8,HVAC,Plumbing Engineer,Intern
Engineering,Fire Protection Engineering,2.74,12,HVAC,Fire Protection Engineer,Associate
Engineering,Lighting Design and Control,2.63,1,HVAC,Lighting Engineer,Intern
Engineering,Sustainable Building Systems,2.54,12,HVAC,Sustainable Building Systems Engineer,Associate
Engineering,Lean Manufacturing,3.06,14,Manufacturing Engineering,Lean Manufacturing Engineer,Associate
Engineering,Industrial Engineering,3.58,2,Manufacturing Engineering,Industrial Engineer,Intern
Engineering,Quality Control and Assurance,3.13,7,Manufacturing Engineering,Quality Control Engineer,Intern
Engineering,Production Planning and Control,2.62,7,Manufacturing Engineering,Production Planning Engineer,Intern
Engineering,Supply Chain Management,2.83,6,Manufacturing Engineering,Supply Chain Manager,Intern
Science,Biotechnology,3.17,12,Applied Sciences Study,Biotechnologist,Associate
Science,Environmental Science,3.18,8,Applied Sciences Study,Environmental Scientist,Intern
Science,Forensic Science,3.69,17,Applied Sciences Study,Forensic Scientist,Associate
Science,Nanotechnology,3.19,3,Applied Sciences Study,Nanotechnologist,Intern
Science,Polymer Science,2.88,11,Applied Sciences Study,Polymer Scientist,Intern
Science,Renewable Energy,3.22,17,Applied Sciences Study,Renewable Energy Specialist,Associate
Science,Material Science,2.73,1,Applied Sciences Study,Material Scientist,Intern
Science,Environmental Monitoring,3.05,14,Applied Sciences Study,Environmental Monitoring Technician,Associate
Science,Data Analysis,3.35,11,Applied Sciences Study,Data Analyst,Intern
Science,Data Analysis,3.42,0,Statistics and Operations Research,Data Analyst,Intern
Science,Statistical Modeling,3.36,0,Statistics and Operations Research,Statistical Modeler,Intern
Science,Operations Research,3.41,4,Statistics and Operations Research,Operations Research Analyst,Intern
Science,Quantitative Risk Analysis,2.77,11,Statistics and Operations Research,Risk Analyst,Intern
Science,Statistical Consulting,3.26,16,Statistics and Operations Research,Statistical Consultant,Associate
Science,Market Research,3.11,7,Statistics and Operations Research,Market Research Analyst,Intern
Science,Forecasting,2.99,5,Statistics and Operations Research,Forecast Analyst,Intern
Science,Survey Design and Analysis,2.68,5,Statistics and Operations Research,Survey Analyst,Intern
Science,Supply Chain Optimization,3.42,15,Statistics and Operations Research,Supply Chain Analyst,Associate
Science,Computational Modeling and Simulation,2.77,14,Computation and Management,Computational Modeler,Associate
Science,Computational Finance,3.59,1,Computation and Management,Computational Financial Analyst,Intern
Science,Data Management and Analysis,2.79,5,Computation and Management,Data Manager,Intern
Science,Computational Economics,3,10,Computation and Management,Computational Economist,Intern
Science,Project Management,2.99,17,Computation and Management,Project Manager,Associate
Science,Business Analytics,2.72,5,Computation and Management,Business Analyst,Intern
Science,Information Systems Management,3.58,6,Computation and Management,Information Systems Manager,Intern
Science,Decision Support Systems,3.09,6,Computation and Management,Decision Support Systems Specialist,Intern
Aggriculture,Crop Science,2.73,7,Agricultural Technology and Management,Crop Scientist,Intern
Aggriculture,Agricultural Engineering,2.67,1,Agricultural Technology and Management,Agricultural Engineer,Intern
Aggriculture,Agribusiness Management,3.61,9,Agricultural Technology and Management,Agribusiness Manager,Intern
Aggriculture,Soil Science,2.63,5,Agricultural Technology and Management,Soil Scientist,Intern
Aggriculture,Agricultural Extension,3.43,16,Agricultural Technology and Management,Agricultural Extension Agent,Associate
Aggriculture,Precision Agriculture,3.02,17,Agricultural Technology and Management,Precision Agriculture Expert,Associate
Aggriculture,Livestock Management,3.51,12,Agricultural Technology and Management,Livestock Manager,Associate
Aggriculture,Agricultural Economics,3.36,4,Agricultural Technology and Management,Agricultural Economist,Intern
Aggriculture,Food Quality Assurance,2.63,9,Food Science and Technology,Food Quality Assurance Manager,Intern
Aggriculture,Food Processing,2.68,14,Food Science and Technology,Food Processing Engineer,Associate
Aggriculture,Food Safety and Inspection,3.15,16,Food Science and Technology,Food Safety Inspector,Associate
