Interested_Area,programming,Web,Mobile,Software,Linux,UML,UI,Network,Security,Cloud,BigData,ML,Mathematics,Statistics,Support,Topup_Course,choice
Cyber,3,0,0,4,2,2,4,3,2,0,0,1,2,3,4,CyberSecurity,Secure Software Developer
Networking,4,2,1,2,6,1,4,7,7,7,1,2,0,3,1,CSN,Network Engineer
Business,1,4,2,4,3,6,4,10,6,9,6,9,0,2,5,ISE,IT Consultant
Cyber,3,1,0,4,3,0,4,0,2,0,0,0,3,0,4,CyberSecurity,IT Auditor
Cyber,0,3,3,4,0,2,3,0,3,3,2,1,4,4,2,CyberSecurity,Network Security Engineer
Computational Theory,9,7,10,9,10,6,4,4,1,7,10,6,10,8,4,CS,Software Engineer
Networking,3,0,1,1,9,0,4,10,7,6,1,2,1,1,4,CSN,Cloud Engineer / Architect
Business,2,4,0,3,0,6,4,9,9,9,7,9,3,2,6,ISE,Business Consultant
Cyber,2,4,4,1,3,1,3,3,4,0,0,2,4,3,0,CyberSecurity,Network Security Engineer
Systems,0,0,4,1,9,4,4,10,4,4,2,3,10,9,7,CSE,Computer Hardware Engineer
Cyber,3,0,1,0,0,0,4,2,0,2,3,1,3,3,4,CyberSecurity,Incident Responder
Programming,7,8,9,7,1,3,7,3,3,10,0,8,8,6,0,SE,Technical Consultant
Systems,4,3,4,3,10,4,2,10,1,2,4,0,7,7,10,CSE,Computer System Design Engineer
Networking,2,4,4,0,6,1,0,8,10,7,0,2,2,0,4,CSN,Systems Administrator
Systems,1,0,2,0,10,3,0,10,4,2,4,4,10,10,6,CSE,Computer Support Specialist
Cyber,0,4,0,0,2,4,4,3,0,0,1,3,1,1,1,CyberSecurity,Endpoint Engineer
IT,2,2,1,3,0,3,4,2,0,0,4,4,1,2,2,Information,TechOps EngineerDevops Engineer
Multimedia,3,6,1,1,1,8,8,1,3,0,0,3,1,2,0,IM,Game Developer
Business,4,3,1,0,1,6,3,9,10,7,10,9,1,4,10,ISE,IT Consultant
Cyber,0,2,3,3,0,2,2,2,4,1,4,1,2,2,4,CyberSecurity,Security Architect
Business,1,3,1,4,4,6,4,6,9,7,10,6,0,1,9,ISE,Database Administrator
Computational Theory,7,5,6,8,10,6,1,3,0,6,7,9,9,7,3,CS,Software Architect
Multimedia,1,9,1,2,2,8,8,3,4,1,1,2,2,0,4,IM,3D Visualizer
Multimedia,0,5,1,3,0,6,10,3,0,3,1,2,0,4,1,IM,Multimedia Programmer
Analytics,7,0,3,2,1,6,4,3,1,1,7,7,10,10,0,Data,DataBase Engineer 
Systems,4,4,3,2,6,2,2,10,3,1,3,3,8,9,10,CSE,Network Engineer
IT,0,2,0,1,2,1,2,4,3,4,1,3,2,3,0,Information,Support Engineer
Analytics,6,3,0,1,4,8,3,4,2,2,5,10,7,7,4,Data,IT Consultant 
Multimedia,1,8,1,4,1,9,6,4,0,0,0,2,2,0,4,IM,Game Developer
Networking,4,2,0,1,9,2,2,6,9,10,2,0,4,3,2,CSN,Database Administrator
Business,4,4,2,2,1,9,0,10,7,6,6,10,2,4,10,ISE,IT Technical Support Officer
Systems,0,0,0,0,7,4,2,8,2,2,1,3,10,6,8,CSE,Aeronautics Engineer
Multimedia,2,8,4,0,0,10,10,2,0,3,1,1,4,2,1,IM,Multimedia Developer
Systems,4,3,4,3,10,4,4,9,3,4,1,2,8,8,8,CSE,Network Engineer
Analytics,7,2,2,4,3,8,1,1,2,3,6,9,7,6,0,Data,Database Admin
Programming,9,7,9,9,3,3,10,4,1,6,3,6,6,8,4,SE,Technical Consultant
Programming,6,10,8,6,4,4,7,3,0,6,2,9,6,10,0,SE,Software Architect
Analytics,6,4,1,0,2,9,0,1,2,1,6,7,7,8,0,Data,ML Engineer
Cyber,0,3,4,0,0,4,2,1,3,1,4,0,0,3,0,CyberSecurity,Application security engineer
Systems,3,3,4,0,6,4,2,8,2,4,0,4,10,8,6,CSE,Industrial Engineer
Systems,2,1,1,3,6,1,2,9,0,4,2,1,7,8,10,CSE,Computer Support Specialist
Networking,3,0,3,1,10,0,0,8,8,10,0,4,2,2,0,CSN,Network Architect
Programming,7,7,8,9,3,4,10,1,1,6,4,7,10,8,3,SE,ERP Consultant
Networking,1,0,4,3,8,1,1,8,9,9,4,4,0,1,4,CSN,Embedded Systems Designer
Cyber,3,1,3,0,1,2,0,1,2,0,0,1,4,0,0,CyberSecurity,Forensics Investigator
IT,2,3,1,1,4,4,1,4,2,1,4,1,3,0,1,Information,Infrastructure Engineer
Systems,4,0,1,3,10,1,4,8,0,2,1,3,10,6,9,CSE,Computer Support Specialist
Multimedia,1,9,0,1,4,9,7,1,3,2,0,2,4,3,2,IM,UI Engineer
Business,2,2,3,0,2,8,1,10,6,7,8,8,2,2,8,ISE,Business Consultant
Systems,2,4,2,1,6,1,1,10,0,0,0,0,6,10,7,CSE,Computer Support Specialist
Programming,7,5,8,8,1,4,9,3,2,7,3,7,10,9,2,SE,ERP Consultant
Systems,4,0,1,0,6,3,2,10,0,4,0,1,6,9,7,CSE,Computer Hardware Engineer
Computational Theory,10,6,7,6,7,10,1,4,0,8,6,7,10,7,3,CS,Software Engineer
Multimedia,2,6,2,1,0,8,9,3,4,1,2,4,2,1,3,IM,UI Engineer
Multimedia,0,8,4,0,4,7,6,4,1,3,1,2,1,1,2,IM,Interior Designers
Multimedia,4,9,1,2,2,9,10,0,4,4,3,0,3,0,1,IM,Multimedia Programmer
Computational Theory,9,9,6,6,8,10,1,3,1,10,5,5,10,6,0,CS,ML Engineer
Computational Theory,9,8,8,7,10,10,4,2,3,8,10,9,7,6,3,CS,Technical Consultant
Analytics,8,3,4,4,2,10,1,2,1,0,6,5,6,7,2,Data,Data Consultant
Programming,10,9,6,6,2,3,7,0,4,8,1,7,7,7,0,SE,Software Architect
Programming,8,7,10,10,0,0,9,4,1,8,0,7,8,9,4,SE,Game Developer
Computational Theory,8,5,7,9,7,6,0,4,2,8,6,8,8,10,1,CS,ML Engineer
Networking,4,3,4,3,10,4,0,7,10,10,2,1,2,1,2,CSN,Infrastructure Engineer
Systems,2,3,0,2,8,0,4,8,4,0,4,1,9,8,10,CSE,Systems Security Analyst
Multimedia,4,7,4,1,0,8,7,1,2,4,1,3,1,4,4,IM,Game Developer
Multimedia,1,9,2,0,0,6,7,3,4,2,2,1,0,1,3,IM,3D Visualizer
Business,4,3,3,3,1,9,2,6,9,6,6,10,0,1,7,ISE,Business Analyst
Networking,1,4,3,3,8,2,3,10,9,10,2,0,2,2,1,CSN,Cloud Engineer / Architect
Multimedia,1,6,1,4,3,6,8,4,0,4,4,2,3,1,3,IM,UI Engineer
IT,2,2,2,0,3,3,4,4,4,2,3,2,0,4,2,Information,Operations Engineer
Systems,1,3,1,4,8,0,0,9,1,3,2,3,6,6,9,CSE,Computer Support Specialist
Business,2,1,3,2,4,9,4,9,7,8,8,10,0,0,10,ISE,IT Technical Support Officer
Analytics,9,0,0,3,4,10,1,2,4,0,9,6,7,8,4,Data,AI Engineer 
